Country;Frequency Range;Allocations;Applications
"Sweden (PTS)";"87.59375 - 87.60625 MHz";"NRJ Skövde - Falköping";"#00FF9A"
"Sweden (PTS)";"88.09375 - 88.10625 MHz";"NRJ Skövde - Skövde - Skaraborgs slättland";"#00FF9A"
"Sweden (PTS)";"88.29375 - 88.30625 MHz";"NRJ Bohuslän - Stenungsund";"#00FF9A"
"Sweden (PTS)";"91.69375 - 91.70625 MHz";"NRJ - Herrljunga";"#00FF9A"
"Sweden (PTS)";"92.29375 - 92.30625 MHz";"NRJ Bohuslän - Strömstad";"#00FF9A"
"Sweden (PTS)";"93.39375 - 93.40625 MHz";"NRJ Göteborg - Alingsås - Vårgårda";"#00FF9A"
"Sweden (PTS)";"93.79375 - 93.80625 MHz";"SR P4 Göteborg - Svanesund";"#00FF9A"
"Sweden (PTS)";"96.09375 - 96.10625 MHz";"NRJ Skövde - Mariestad";"#00FF9A"
"Sweden (PTS)";"97.59375 - 97.60625 MHz";"SR P4 Väst - Strömstad";"#00FF9A"
"Sweden (PTS)";"98.29375 - 98.30625 MHz";"NRJ Borås - Kinna";"#00FF9A"
"Sweden (PTS)";"100.09375 - 100.10625 MHz";"NRJ Bohuslän - Uddevalla";"#00FF9A"
"Sweden (PTS)";"100.29375 - 100.30625 MHz";"SR P4 Skaraborg - Skövde";"#00FF9A"
"Sweden (PTS)";"100.59375 - 100.60625 MHz";"NRJ Bohuslän - Färgelanda";"#00FF9A"
"Sweden (PTS)";"100.79375 - 100.80625 MHz";"SR P4 Väst - Svinesund";"#00FF9A"
"Sweden (PTS)";"100.89375 - 100.90625 MHz";"SR P4 Väst - Kungshamn";"#00FF9A"
"Sweden (PTS)";"101.09375 - 101.10625 MHz";"Lite fm. www.litefm.se - Trollhättan";"#00FF9A"
"Sweden (PTS)";"101.69375 - 101.70625 MHz";"NRJ Borås - Ulricehamn";"#00FF9A"
"Sweden (PTS)";"101.89375 - 101.90625 MHz";"SR P4 Göteborg - Göteborg - Brudaremossen";"#00FF9A"
"Sweden (PTS)";"102.19375 - 102.20625 MHz";"SR P4 Väst - Bäckefors";"#00FF9A"
"Sweden (PTS)";"102.39375 - 102.40625 MHz";"NRJ Bohuslän - Kungshamn";"#00FF9A"
"Sweden (PTS)";"102.89375 - 102.90625 MHz";"SR P4 Sjuhärad - Borås - Dalsjöfors";"#00FF9A"
"Sweden (PTS)";"103.09375 - 103.10625 MHz";"NRJ Skövde - Hjo";"#00FF9A"
"Sweden (PTS)";"103.29375 - 103.30625 MHz";"SR P4 Väst - Uddevalla - Herrestad";"#00FF9A"
"Sweden (PTS)";"103.69375 - 103.70625 MHz";"SR P4 Väst - Trollhättan";"#00FF9A"
"Sweden (PTS)";"103.99375 - 104.00625 MHz";"NRJ Göteborg - Lerum";"#00FF9A"
"Sweden (PTS)";"104.59375 - 104.60625 MHz";"NRJ Bohuslän - Rabbalshede";"#00FF9A"
"Sweden (PTS)";"104.79375 - 104.80625 MHz";"Bandit Rock - Göteborg";"#00FF9A"
"Sweden (PTS)";"104.99375 - 105.00625 MHz";"NRJ Bohuslän - Trollhättan";"#00FF9A"
"Sweden (PTS)";"105.89375 - 105.90625 MHz";"NRJ Göteborg - Göteborg";"#00FF9A"
"Sweden (PTS)";"106.59375 - 106.60625 MHz";"NRJ Borås - Svenljunga";"#00FF9A"
"Sweden (PTS)";"106.69375 - 106.70625 MHz";"NRJ Skövde - Lidköping";"#00FF9A"
"Sweden (PTS)";"106.89375 - 106.90625 MHz";"Lugna Favoriter - Vänersborg";"#00FF9A"
"Sweden (PTS)";"107.09375 - 107.10625 MHz";"NRJ Borås - Borås";"#00FF9A"
"Sweden (PTS)";"107.29375 - 107.30625 MHz";"Mix Megapol/Radio City - Göteborg";"#00FF9A"
"Sweden (PTS)";"107.79375 - 107.80625 MHz";"Rockklassiker - Göteborg";"#00FF9A"
"Sweden (PTS)";"108 - 117.975 MHz";"Radionavigering för luftfart (ILS, VOR)";"#00FF7F"
"Sweden (PTS)";"108.49375 - 108.50625 MHz";"Landvetter - ILS - Bana 21 - Göteborg - Lokaliserare bana 21";"#5D88FF"
"Sweden (PTS)";"109.49375 - 109.50625 MHz";"ILS/DME - Bana 19 - Såtenäs";"#5D88FF"
"Sweden (PTS)";"110.29375 - 110.30625 MHz";"Landvetter - ILS - Bana 3 - Göteborg - Lokaliserare";"#5D88FF"
"Sweden (PTS)";"110.74375 - 110.75625 MHz";"ILS/DME - Bana 6 - Karlsborg - MIL";"#5D88FF"
